label,text
ham,"Hi Priya, can we reschedule our call to 5pm?"
spam,"Limited Time Offer: get a free smart watch, limited stock, order now. Call this number immediately"
spam,"CONGRATULATIONS: earn $100 a day from home, no experience needed. Visit our website now"
spam,"ATTENTION: earn $500 a day from home, no experience needed. Visit our website now"
ham,"Hi John, what time does the lab open tomorrow?"
spam,"FREE GIFT: get a free smart watch, limited stock, order now. Visit our website now"
spam,You have been selected: your loan of $1000 has already been approved. Reply YES to claim your prize
ham,"Hi John, thanks for helping me with the assignment yesterday."
spam,URGENT: this is your last chance to claim $100. Visit our website now
ham,"I finished the report, will send it tonight."
ham,The wifi in the library is down again.
ham,"Hi John, let me know if you're free this weekend."
spam,"URGENT: get a free iphone, limited stock, order now. Visit our website now"
spam,"You have been selected: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
ham,"Hi Alex, see you at the group study session at 6."
ham,Happy birthday! Hope you have a great day.
ham,"Hi Sam, see you at the group study session at 6."
spam,"CONGRATULATIONS: your package could not be delivered, click to reschedule. Reply YES to claim your prize"
spam,CONGRATULATIONS: your account will be suspended unless you verify your details. Reply YES to claim your prize
spam,ATTENTION: you have been selected for a cash reward of $250. Visit our website now
ham,Can you send me the notes from today's class?
spam,"FREE GIFT: claim your free vacation package today, no purchase needed. Reply YES to claim your prize"
spam,"ATTENTION: earn $100 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
spam,"You have been selected: we noticed unusual activity, confirm your password here. Visit our website now"
ham,"Hi Alex, thanks for the ride home yesterday."
spam,"You have been selected: your account will be suspended unless you verify your details. Offer ends soon, do not miss it"
ham,"Just checking in, how did the interview go?"
spam,"Limited Time Offer: you have been selected for a cash reward of $250. Offer ends soon, do not miss it"
spam,"FREE GIFT: we noticed unusual activity, confirm your password here. Visit our website now"
spam,"CONGRATULATIONS: your loan of $100 has already been approved. Offer ends soon, do not miss it"
ham,The wifi in the library is down again.
spam,URGENT: your loan of $500 has already been approved. Call this number immediately
ham,"Hi John, the meeting got moved to next Monday."
ham,"I'm stuck on question 3, can you help me out?"
ham,"Hi Sam, don't forget we have the project submission on Friday."
spam,"WINNER: get a free vacation package, limited stock, order now. Offer ends soon, do not miss it"
spam,"CONGRATULATIONS: your package could not be delivered, click to reschedule. Reply YES to claim your prize"
spam,"FINAL NOTICE: earn $500 a day from home, no experience needed. Offer ends soon, do not miss it"
spam,"URGENT: we noticed unusual activity, confirm your password here. Offer ends soon, do not miss it"
ham,Let me know if you're free this weekend.
spam,"CONGRATULATIONS: earn $250 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
ham,"Hi Sam, thanks for helping me with the assignment yesterday."
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Offer ends soon, do not miss it"
spam,"FINAL NOTICE: we noticed unusual activity, confirm your password here. Visit our website now"
ham,"Hi Maria, can you review my code before I submit it?"
spam,"CONGRATULATIONS: you have won a $100 gift card, click here to claim it. Reply YES to claim your prize"
spam,"CONGRATULATIONS: earn $250 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
ham,What time does the lab open tomorrow?
ham,See you at the group study session at 6.
ham,The meeting got moved to next Monday.
ham,"Hi Priya, can you review my code before I submit it?"
spam,"URGENT: earn $500 a day from home, no experience needed. Call this number immediately"
spam,"FINAL NOTICE: get a free laptop, limited stock, order now. Visit our website now"
spam,"Limited Time Offer: you have won a $100 gift card, click here to claim it. Call this number immediately"
spam,"WINNER: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
spam,"You have been selected: you have been selected for a cash reward of $100. Offer ends soon, do not miss it"
ham,Can you review my code before I submit it?
ham,"I'm stuck on question 3, can you help me out?"
spam,"Limited Time Offer: your account will be suspended unless you verify your details. Offer ends soon, do not miss it"
spam,"URGENT: earn $250 a day from home, no experience needed. Offer ends soon, do not miss it"
ham,"Nice presentation today, learned a lot."
ham,"Just checking in, how did the interview go?"
ham,Reminder: assignment 2 is due at midnight.
ham,What time does the lab open tomorrow?
ham,Thanks for helping me with the assignment yesterday.
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,"Hi Sam, thanks for helping me with the assignment yesterday."
spam,FREE GIFT: your account will be suspended unless you verify your details. Click here to claim: http://bit.ly/claim-now
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Visit our website now"
spam,"FINAL NOTICE: you have won a $1000 gift card, click here to claim it. Visit our website now"
ham,"Hi Maria, what time does the lab open tomorrow?"
ham,"I finished the report, will send it tonight."
spam,"CONGRATULATIONS: earn $250 a day from home, no experience needed. Reply YES to claim your prize"
spam,"WINNER: claim your free iphone today, no purchase needed. Call this number immediately"
spam,"WINNER: we noticed unusual activity, confirm your password here. Visit our website now"
ham,Thanks for helping me with the assignment yesterday.
spam,"You have been selected: you have won a $500 gift card, click here to claim it. Call this number immediately"
ham,"I finished the report, will send it tonight."
ham,"Hi Priya, happy birthday! Hope you have a great day."
ham,Thanks for the ride home yesterday.
spam,FREE GIFT: your account will be suspended unless you verify your details. Click here to claim: http://bit.ly/claim-now
ham,"Hi Priya, let's grab coffee sometime this week."
ham,Thanks for the ride home yesterday.
ham,Happy birthday! Hope you have a great day.
spam,"ATTENTION: earn $100 a day from home, no experience needed. Visit our website now"
ham,"Hi John, reminder: assignment 2 is due at midnight."
ham,The meeting got moved to next Monday.
spam,ATTENTION: your loan of $500 has already been approved. Reply YES to claim your prize
ham,Let me know if you're free this weekend.
ham,"Nice presentation today, learned a lot."
spam,"CONGRATULATIONS: claim your free smart watch today, no purchase needed. Call this number immediately"
spam,"ATTENTION: claim your free iphone today, no purchase needed. Visit our website now"
spam,"You have been selected: earn $100 a day from home, no experience needed. Offer ends soon, do not miss it"
ham,Thanks for the ride home yesterday.
ham,"Hi Alex, the meeting got moved to next Monday."
ham,Can we reschedule our call to 5pm?
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Visit our website now"
ham,"Hi Priya, let's grab coffee sometime this week."
spam,"CONGRATULATIONS: get a free laptop, limited stock, order now. Visit our website now"
ham,"My train got delayed, I'll be 15 minutes late."
ham,"I finished the report, will send it tonight."
spam,"Limited Time Offer: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
ham,Can we reschedule our call to 5pm?
spam,"You have been selected: you have won a $1000 gift card, click here to claim it. Click here to claim: http://bit.ly/claim-now"
spam,FINAL NOTICE: this is your last chance to claim $1000. Reply YES to claim your prize
spam,WINNER: this is your last chance to claim $100. Click here to claim: http://bit.ly/claim-now
ham,The wifi in the library is down again.
ham,Can we reschedule our call to 5pm?
ham,"Hi Alex, just checking in, how did the interview go?"
spam,You have been selected: your account will be suspended unless you verify your details. Reply YES to claim your prize
spam,"You have been selected: your package could not be delivered, click to reschedule. Reply YES to claim your prize"
ham,"Hi Priya, the wifi in the library is down again."
spam,"Limited Time Offer: claim your free laptop today, no purchase needed. Click here to claim: http://bit.ly/claim-now"
ham,Reminder: assignment 2 is due at midnight.
spam,"CONGRATULATIONS: earn $250 a day from home, no experience needed. Offer ends soon, do not miss it"
ham,See you at the group study session at 6.
spam,"You have been selected: you have won a $250 gift card, click here to claim it. Click here to claim: http://bit.ly/claim-now"
spam,"FINAL NOTICE: earn $100 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
ham,Thanks for helping me with the assignment yesterday.
ham,See you at the group study session at 6.
spam,"FINAL NOTICE: you have won a $1000 gift card, click here to claim it. Call this number immediately"
spam,"Limited Time Offer: earn $250 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
spam,"FREE GIFT: claim your free laptop today, no purchase needed. Call this number immediately"
ham,The wifi in the library is down again.
spam,"FINAL NOTICE: get a free smart watch, limited stock, order now. Reply YES to claim your prize"
spam,"CONGRATULATIONS: your loan of $500 has already been approved. Offer ends soon, do not miss it"
spam,"FINAL NOTICE: get a free iphone, limited stock, order now. Reply YES to claim your prize"
ham,See you at the group study session at 6.
spam,"URGENT: your package could not be delivered, click to reschedule. Reply YES to claim your prize"
ham,"I'm stuck on question 3, can you help me out?"
ham,Can you review my code before I submit it?
spam,FREE GIFT: you have been selected for a cash reward of $1000. Visit our website now
spam,FINAL NOTICE: your loan of $1000 has already been approved. Reply YES to claim your prize
ham,Let me know if you're free this weekend.
spam,ATTENTION: you have been selected for a cash reward of $500. Reply YES to claim your prize
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,"Just checking in, how did the interview go?"
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Call this number immediately"
spam,"WINNER: we noticed unusual activity, confirm your password here. Reply YES to claim your prize"
ham,Don't forget we have the project submission on Friday.
ham,The meeting got moved to next Monday.
spam,"CONGRATULATIONS: get a free vacation package, limited stock, order now. Click here to claim: http://bit.ly/claim-now"
ham,The wifi in the library is down again.
ham,Thanks for helping me with the assignment yesterday.
ham,The wifi in the library is down again.
spam,"FINAL NOTICE: you have won a $1000 gift card, click here to claim it. Offer ends soon, do not miss it"
ham,Reminder: assignment 2 is due at midnight.
ham,The meeting got moved to next Monday.
spam,"Limited Time Offer: claim your free smart watch today, no purchase needed. Click here to claim: http://bit.ly/claim-now"
ham,Let's grab coffee sometime this week.
ham,"Hi Maria, let's grab coffee sometime this week."
spam,FINAL NOTICE: your loan of $100 has already been approved. Call this number immediately
spam,FREE GIFT: this is your last chance to claim $500. Call this number immediately
ham,Let's grab coffee sometime this week.
ham,Thanks for helping me with the assignment yesterday.
spam,"URGENT: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
ham,"Hi Priya, what time does the lab open tomorrow?"
ham,Don't forget we have the project submission on Friday.
spam,"WINNER: you have won a $100 gift card, click here to claim it. Click here to claim: http://bit.ly/claim-now"
spam,"WINNER: your package could not be delivered, click to reschedule. Call this number immediately"
ham,"Hi John, see you at the group study session at 6."
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Can we reschedule our call to 5pm?
ham,Happy birthday! Hope you have a great day.
ham,"Hi Sam, thanks for helping me with the assignment yesterday."
spam,"Limited Time Offer: claim your free laptop today, no purchase needed. Offer ends soon, do not miss it"
spam,"CONGRATULATIONS: claim your free vacation package today, no purchase needed. Reply YES to claim your prize"
ham,"Hi Sam, let me know if you're free this weekend."
ham,The meeting got moved to next Monday.
spam,"ATTENTION: this is your last chance to claim $250. Offer ends soon, do not miss it"
ham,See you at the group study session at 6.
spam,"FREE GIFT: we noticed unusual activity, confirm your password here. Offer ends soon, do not miss it"
spam,WINNER: your account will be suspended unless you verify your details. Click here to claim: http://bit.ly/claim-now
ham,"Hi Priya, the meeting got moved to next Monday."
spam,WINNER: your account will be suspended unless you verify your details. Reply YES to claim your prize
ham,"My train got delayed, I'll be 15 minutes late."
ham,Thanks for helping me with the assignment yesterday.
spam,"CONGRATULATIONS: you have been selected for a cash reward of $250. Offer ends soon, do not miss it"
spam,FINAL NOTICE: you have been selected for a cash reward of $500. Click here to claim: http://bit.ly/claim-now
ham,Thanks for the ride home yesterday.
ham,"I finished the report, will send it tonight."
spam,"FREE GIFT: claim your free gift card today, no purchase needed. Reply YES to claim your prize"
ham,What time does the lab open tomorrow?
spam,ATTENTION: your account will be suspended unless you verify your details. Reply YES to claim your prize
spam,"Limited Time Offer: you have been selected for a cash reward of $100. Offer ends soon, do not miss it"
ham,"Hi Priya, happy birthday! Hope you have a great day."
ham,Let me know if you're free this weekend.
ham,Thanks for helping me with the assignment yesterday.
spam,"FREE GIFT: we noticed unusual activity, confirm your password here. Call this number immediately"
spam,"You have been selected: we noticed unusual activity, confirm your password here. Reply YES to claim your prize"
ham,"Hi Maria, the meeting got moved to next Monday."
ham,The meeting got moved to next Monday.
ham,Reminder: assignment 2 is due at midnight.
spam,"WINNER: you have won a $250 gift card, click here to claim it. Reply YES to claim your prize"
ham,Can you send me the notes from today's class?
spam,FREE GIFT: this is your last chance to claim $500. Visit our website now
ham,"Hi Maria, reminder: assignment 2 is due at midnight."
spam,Limited Time Offer: your account will be suspended unless you verify your details. Reply YES to claim your prize
ham,The meeting got moved to next Monday.
spam,FINAL NOTICE: you have been selected for a cash reward of $500. Call this number immediately
spam,"WINNER: we noticed unusual activity, confirm your password here. Click here to claim: http://bit.ly/claim-now"
ham,Can you send me the notes from today's class?
ham,"Hi John, can you review my code before I submit it?"
spam,"FREE GIFT: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
ham,"Hey, are we still meeting for lunch tomorrow?"
spam,"WINNER: claim your free gift card today, no purchase needed. Visit our website now"
spam,"CONGRATULATIONS: get a free smart watch, limited stock, order now. Call this number immediately"
spam,"You have been selected: your account will be suspended unless you verify your details. Offer ends soon, do not miss it"
ham,See you at the group study session at 6.
ham,"Hi Alex, the wifi in the library is down again."
spam,URGENT: this is your last chance to claim $100. Visit our website now
ham,Can we reschedule our call to 5pm?
spam,ATTENTION: your loan of $100 has already been approved. Reply YES to claim your prize
ham,Don't forget we have the project submission on Friday.
spam,"CONGRATULATIONS: earn $100 a day from home, no experience needed. Visit our website now"
ham,"Hi Priya, the meeting got moved to next Monday."
spam,"You have been selected: earn $500 a day from home, no experience needed. Offer ends soon, do not miss it"
ham,"Hi Maria, happy birthday! Hope you have a great day."
spam,"Limited Time Offer: you have been selected for a cash reward of $1000. Offer ends soon, do not miss it"
ham,Can you send me the notes from today's class?
spam,URGENT: you have been selected for a cash reward of $500. Click here to claim: http://bit.ly/claim-now
ham,"Hi Priya, thanks for the ride home yesterday."
ham,The meeting got moved to next Monday.
spam,"FINAL NOTICE: earn $500 a day from home, no experience needed. Click here to claim: http://bit.ly/claim-now"
ham,The meeting got moved to next Monday.
spam,URGENT: your loan of $250 has already been approved. Click here to claim: http://bit.ly/claim-now
ham,"Hi Sam, can you review my code before I submit it?"
ham,The wifi in the library is down again.
spam,"WINNER: get a free vacation package, limited stock, order now. Offer ends soon, do not miss it"
spam,"FINAL NOTICE: earn $100 a day from home, no experience needed. Visit our website now"
spam,"You have been selected: we noticed unusual activity, confirm your password here. Reply YES to claim your prize"
spam,"FREE GIFT: earn $500 a day from home, no experience needed. Offer ends soon, do not miss it"
ham,Reminder: assignment 2 is due at midnight.
ham,Let me know if you're free this weekend.
spam,"URGENT: earn $1000 a day from home, no experience needed. Visit our website now"
ham,What time does the lab open tomorrow?
ham,Let me know if you're free this weekend.
spam,URGENT: you have been selected for a cash reward of $500. Click here to claim: http://bit.ly/claim-now
spam,You have been selected: your loan of $1000 has already been approved. Reply YES to claim your prize
ham,Let's grab coffee sometime this week.
ham,"Hi Alex, the meeting got moved to next Monday."
spam,ATTENTION: you have been selected for a cash reward of $1000. Click here to claim: http://bit.ly/claim-now
ham,Can you review my code before I submit it?
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Offer ends soon, do not miss it"
spam,FREE GIFT: you have been selected for a cash reward of $500. Click here to claim: http://bit.ly/claim-now
spam,"CONGRATULATIONS: get a free vacation package, limited stock, order now. Call this number immediately"
ham,Thanks for the ride home yesterday.
ham,"Nice presentation today, learned a lot."
ham,Let's grab coffee sometime this week.
ham,Can we reschedule our call to 5pm?
spam,"URGENT: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
ham,"Hi Sam, my train got delayed, I'll be 15 minutes late."
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,"I finished the report, will send it tonight."
spam,"URGENT: you have won a $250 gift card, click here to claim it. Offer ends soon, do not miss it"
ham,"Hi Priya, my train got delayed, I'll be 15 minutes late."
ham,"Hi John, thanks for the ride home yesterday."
spam,"URGENT: get a free vacation package, limited stock, order now. Click here to claim: http://bit.ly/claim-now"
spam,"Limited Time Offer: we noticed unusual activity, confirm your password here. Call this number immediately"
spam,FREE GIFT: your account will be suspended unless you verify your details. Click here to claim: http://bit.ly/claim-now
spam,"ATTENTION: get a free laptop, limited stock, order now. Reply YES to claim your prize"
ham,"Hi Alex, the wifi in the library is down again."
ham,"Hi John, the wifi in the library is down again."
spam,"CONGRATULATIONS: claim your free smart watch today, no purchase needed. Visit our website now"
ham,Thanks for helping me with the assignment yesterday.
spam,You have been selected: you have been selected for a cash reward of $1000. Visit our website now
ham,Let's grab coffee sometime this week.
spam,"FREE GIFT: claim your free gift card today, no purchase needed. Click here to claim: http://bit.ly/claim-now"
ham,"Just checking in, how did the interview go?"
ham,Thanks for helping me with the assignment yesterday.
spam,You have been selected: this is your last chance to claim $100. Click here to claim: http://bit.ly/claim-now
spam,CONGRATULATIONS: your loan of $250 has already been approved. Call this number immediately
ham,"Hi John, can you review my code before I submit it?"
spam,Limited Time Offer: your loan of $250 has already been approved. Visit our website now
spam,"Limited Time Offer: claim your free vacation package today, no purchase needed. Visit our website now"
ham,Can we reschedule our call to 5pm?
spam,"WINNER: your package could not be delivered, click to reschedule. Visit our website now"
spam,"CONGRATULATIONS: you have won a $100 gift card, click here to claim it. Visit our website now"
ham,The meeting got moved to next Monday.
ham,Let's grab coffee sometime this week.
spam,"WINNER: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
spam,"URGENT: you have won a $100 gift card, click here to claim it. Visit our website now"
spam,"WINNER: we noticed unusual activity, confirm your password here. Call this number immediately"
spam,"CONGRATULATIONS: get a free vacation package, limited stock, order now. Offer ends soon, do not miss it"
spam,"ATTENTION: claim your free gift card today, no purchase needed. Visit our website now"
spam,FINAL NOTICE: this is your last chance to claim $500. Visit our website now
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,"I'm stuck on question 3, can you help me out?"
spam,"You have been selected: this is your last chance to claim $100. Offer ends soon, do not miss it"
spam,"FINAL NOTICE: get a free smart watch, limited stock, order now. Offer ends soon, do not miss it"
ham,Can we reschedule our call to 5pm?
ham,"My train got delayed, I'll be 15 minutes late."
spam,"Limited Time Offer: your loan of $250 has already been approved. Offer ends soon, do not miss it"
spam,"Limited Time Offer: get a free vacation package, limited stock, order now. Offer ends soon, do not miss it"
ham,Can you send me the notes from today's class?
ham,"Hi Sam, hey, are we still meeting for lunch tomorrow?"
ham,Thanks for helping me with the assignment yesterday.
spam,"FINAL NOTICE: get a free laptop, limited stock, order now. Visit our website now"
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,"Hi Maria, just checking in, how did the interview go?"
spam,"FINAL NOTICE: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
ham,"I'm stuck on question 3, can you help me out?"
ham,"Hi Maria, see you at the group study session at 6."
spam,"URGENT: get a free smart watch, limited stock, order now. Offer ends soon, do not miss it"
ham,Thanks for helping me with the assignment yesterday.
spam,"FREE GIFT: claim your free smart watch today, no purchase needed. Reply YES to claim your prize"
spam,"CONGRATULATIONS: get a free gift card, limited stock, order now. Call this number immediately"
ham,Thanks for helping me with the assignment yesterday.
spam,"CONGRATULATIONS: your package could not be delivered, click to reschedule. Visit our website now"
spam,"FINAL NOTICE: this is your last chance to claim $1000. Offer ends soon, do not miss it"
ham,"Hi Priya, see you at the group study session at 6."
spam,"You have been selected: your account will be suspended unless you verify your details. Offer ends soon, do not miss it"
spam,"You have been selected: you have been selected for a cash reward of $100. Offer ends soon, do not miss it"
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Can you send me the notes from today's class?
ham,Can you review my code before I submit it?
ham,"Hi Sam, just checking in, how did the interview go?"
spam,URGENT: you have been selected for a cash reward of $250. Reply YES to claim your prize
ham,"Hi Maria, reminder: assignment 2 is due at midnight."
spam,"FREE GIFT: we noticed unusual activity, confirm your password here. Call this number immediately"
ham,The wifi in the library is down again.
ham,"Hi Alex, what time does the lab open tomorrow?"
ham,What time does the lab open tomorrow?
spam,FREE GIFT: your account will be suspended unless you verify your details. Reply YES to claim your prize
ham,What time does the lab open tomorrow?
ham,"Hi Maria, i'm stuck on question 3, can you help me out?"
ham,"Hi Sam, my train got delayed, I'll be 15 minutes late."
